Datetime,p.u. voltage,overvoltage,undervoltage
6/1/2012 1:00,4.555190233,TRUE,FALSE
6/1/2012 2:00,4.576724363,TRUE,FALSE
6/1/2012 3:00,4.575198032,TRUE,FALSE
6/1/2012 4:00,4.58951716,TRUE,FALSE
6/1/2012 5:00,4.576724363,TRUE,FALSE
6/1/2012 6:00,4.575198032,TRUE,FALSE
6/1/2012 7:00,4.58951716,TRUE,FALSE
6/1/2012 8:00,4.740247423,TRUE,FALSE
6/1/2012 9:00,4.575198032,TRUE,FALSE
6/1/2012 10:00,4.58951716,TRUE,FALSE
6/1/2012 11:00,4.740247423,TRUE,FALSE
6/1/2012 12:00,4.555190233,TRUE,FALSE
6/1/2012 13:00,4.576724363,TRUE,FALSE
6/1/2012 14:00,4.575198032,TRUE,FALSE
6/1/2012 15:00,4.58951716,TRUE,FALSE
6/1/2012 16:00,4.576724363,TRUE,FALSE
6/1/2012 17:00,4.575198032,TRUE,FALSE
6/1/2012 18:00,4.58951716,TRUE,FALSE
6/1/2012 19:00,4.740247423,TRUE,FALSE
6/1/2012 20:00,4.575198032,TRUE,FALSE
6/1/2012 21:00,4.58951716,TRUE,FALSE
6/1/2012 22:00,4.740247423,TRUE,FALSE
6/1/2012 23:00,4.58951716,TRUE,FALSE
6/2/2012 0:00,4.576724363,TRUE,FALSE
