Datetime,p.u. voltage,overvoltage,undervoltage
6/1/2012 1:00,0.207776119,FALSE,TRUE
6/1/2012 2:00,0.207561748,FALSE,TRUE
6/1/2012 3:00,0.207828168,FALSE,TRUE
6/1/2012 4:00,0.200926181,FALSE,TRUE
6/1/2012 5:00,0.207561748,FALSE,TRUE
6/1/2012 6:00,0.207828168,FALSE,TRUE
6/1/2012 7:00,0.200926181,FALSE,TRUE
6/1/2012 8:00,0.19949719,FALSE,TRUE
6/1/2012 9:00,0.207828168,FALSE,TRUE
6/1/2012 10:00,0.200926181,FALSE,TRUE
6/1/2012 11:00,0.19949719,FALSE,TRUE
6/1/2012 12:00,0.207776119,FALSE,TRUE
6/1/2012 13:00,0.207561748,FALSE,TRUE
6/1/2012 14:00,0.207828168,FALSE,TRUE
6/1/2012 15:00,0.200926181,FALSE,TRUE
6/1/2012 16:00,0.207561748,FALSE,TRUE
6/1/2012 17:00,0.207828168,FALSE,TRUE
6/1/2012 18:00,0.200926181,FALSE,TRUE
6/1/2012 19:00,0.19949719,FALSE,TRUE
6/1/2012 20:00,0.207828168,FALSE,TRUE
6/1/2012 21:00,0.200926181,FALSE,TRUE
6/1/2012 22:00,0.19949719,FALSE,TRUE
6/1/2012 23:00,0.194419535,FALSE,TRUE
6/2/2012 0:00,0.190254047,FALSE,TRUE
