datetime,Time [s],electrical_power_consumed,heating_electric_power_4,pump_power_4,ets_pump_power_4,heating_electric_power_5,pump_electric_power_5,ets_pump_electric_power_5,TimeSerLoa_b6603ffb.bui.addPFan.y,TimeSerLoa_9fdd6cda.bui.addPFan.y,TimeSerLoa_9fdd6cda.PPumETS.1,TimeSerLoa_b6603ffb.PPumETS.1,heating_system_capacity_4,heating_system_capacity_5,cooling_system_capacity_4,cooling_system_capacity_5
1/1/2023 0:00,0,0,5.7200108,225.43568,50.506348,44379.12,807.0781,669.07526,0.059889726,0.04642904,50.506348,669.07526,130901.3,73179.4,-15784.6,-201976.5
1/1/2023 1:00,3600,3597.512,189.82222,405.90216,50.506348,40889.383,676.3772,485.15964,58.345257,13.266928,50.506348,485.15964,130901.3,73179.4,-15784.6,-201976.5
1/1/2023 2:00,7200,3597.512,377.7328,410.03784,50.506348,158.13322,197.85272,17.661684,33.35086,19.098415,50.506348,17.661684,130901.3,73179.4,-15784.6,-201976.5
1/1/2023 3:00,10800,3597.512,327.9547,408.43253,50.506348,157.34857,197.71942,17.661684,33.107975,16.66597,50.506348,17.661684,130901.3,73179.4,-15784.6,-201976.5
1/1/2023 4:00,14400,3597.512,346.3013,409.77255,50.506348,156.23788,197.73026,17.661684,33.127678,18.680784,50.506348,17.661684,130901.3,73179.4,-15784.6,-201976.5
1/1/2023 5:00,18000,3597.512,335.09045,409.61743,50.506348,1282.0165,251.81717,46.26926,109.933914,18.439533,50.506348,46.26926,130901.3,73179.4,-15784.6,-201976.5
1/1/2023 6:00,21600,3597.512,361.76434,411.11655,50.506348,1635.4469,295.45166,46.26926,430.3091,20.862598,50.506348,46.26926,130901.3,73179.4,-15784.6,-201976.5
1/1/2023 7:00,25200,3597.512,354.74127,410.17078,50.506348,40628.465,697.5205,443.82877,483.14075,19.310041,50.506348,443.82877,130901.3,73179.4,-15784.6,-201976.5
1/1/2023 8:00,28800,3597.512,428.58185,412.56366,50.506348,39997.49,1871.6868,392.211,121.401634,23.403194,50.506348,392.211,130901.3,73179.4,-15784.6,-201976.5
1/1/2023 9:00,32400,3597.512,407.42163,410.59378,50.506348,40048.703,1382.6626,392.56323,82.55647,19.994179,50.506348,392.56323,130901.3,73179.4,-15784.6,-201976.5
1/1/2023 10:00,36000,3597.512,395.4457,408.79733,50.506348,40242.258,1155.8293,430.92157,1.216863,17.199116,50.506348,430.92157,130901.3,73179.4,-15784.6,-201976.5
1/1/2023 11:00,39600,3597.512,330.15253,404.37436,50.506348,49981.688,1384.0743,730.6526,2.0395472,11.452589,50.506348,730.6526,130901.3,73179.4,-15784.6,-201976.5
1/1/2023 12:00,43200,3597.512,305.63687,401.61346,50.506348,49599.344,1266.4843,663.35657,0.55347973,8.587783,50.506348,663.35657,130901.3,73179.4,-15784.6,-201976.5
1/1/2023 13:00,46800,3597.512,238.88673,397.35754,50.506348,47289.004,1981.9718,570.1697,8.252217,5.1059704,50.506348,570.1697,130901.3,73179.4,-15784.6,-201976.5
1/1/2023 14:00,50400,3597.512,163.23123,391.34003,50.506348,47026.44,1981.3632,568.9695,9.114597,1.4809386,50.506348,568.9695,130901.3,73179.4,-15784.6,-201976.5
1/1/2023 15:00,54000,3597.512,150.08427,389.8777,50.506348,44516.914,1422.8096,491.81442,1.2365474,0.946544,50.506348,491.81442,130901.3,73179.4,-15784.6,-201976.5
1/1/2023 16:00,57600,3597.512,202.95293,392.29984,50.506348,44535.84,1227.341,532.34125,0.8013835,1.9269743,50.506348,532.34125,130901.3,73179.4,-15784.6,-201976.5
1/1/2023 17:00,61200,3597.512,286.27637,397.24124,50.506348,44565.242,1100.5558,487.95993,0.6390668,5.0253687,50.506348,487.95993,130901.3,73179.4,-15784.6,-201976.5
1/1/2023 18:00,64800,3597.512,324.17365,400.6663,50.506348,47256.285,1136.126,570.20056,0.5470258,7.719431,50.506348,570.20056,130901.3,73179.4,-15784.6,-201976.5
